"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@bs","invoice_label@bs"
"VAT_S_17","1","Sale 17%","Sale 17%","17%","17.0","percent","sale","tax_group_pdv_17","100","base","invoice","ba_out_domestic","","Prodaja 17%","Prodaja 17%"
"","","","","","","","","","100","tax","invoice","ba_output_vat","ba_479000","",""
"","","","","","","","","","100","base","refund","ba_out_domestic","","",""
"","","","","","","","","","100","tax","refund","ba_output_vat","ba_479000","",""
"VAT_S_0","2","Sale 0% (exempt)","Sale 0%","0%","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","ba_out_exempt","","Prodaja 0% (oslobođeno)","Prodaja 0%"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","ba_out_exempt","","",""
"","","","","","","","","","100","tax","refund","","","",""
"VAT_S_EX","3","Export (exempt)","Export 0%","0% Export","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","ba_out_export","","Izvoz (oslobođeno)","Izvoz 0%"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","ba_out_export","","",""
"","","","","","","","","","100","tax","refund","","","",""
"VAT_S_RC","4","Reverse charge (services to foreign persons)","Reverse charge","17% RC","17.0","percent","sale","tax_group_pdv_17","100","base","invoice","ba_out_rc","","Obrnuto oporezivanje (usluge stranim licima)","Obrnuto oporezivanje"
"","","","","","","","","","100","tax","invoice","ba_output_vat","ba_479000","",""
"","","","","","","","","","-100","tax","invoice","ba_output_vat","ba_279000","",""
"","","","","","","","","","100","base","refund","ba_out_rc","","",""
"","","","","","","","","","100","tax","refund","ba_output_vat","ba_479000","",""
"","","","","","","","","","-100","tax","refund","ba_output_vat","ba_279000","",""
"VAT_P_17","10","Purchase 17%","Purchase 17%","17%","17.0","percent","purchase","tax_group_pdv_17","100","base","invoice","ba_in_domestic","","Nabavka 17%","Nabavka 17%"
"","","","","","","","","","100","tax","invoice","ba_in_domestic","ba_270000","",""
"","","","","","","","","","100","base","refund","ba_in_domestic","","",""
"","","","","","","","","","100","tax","refund","ba_in_domestic","ba_270000","",""
"VAT_P_0","11","Purchase 0% (exempt)","Purchase 0%","0%","0.0","percent","purchase","tax_group_pdv_0","100","base","invoice","","","Nabavka 0% (oslobođeno)","Nabavka 0%"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","","","",""
"","","","","","","","","","100","tax","refund","","","",""
"VAT_P_IMP_17","12","Import 17%","Import 17%","17% Import","17.0","percent","purchase","tax_group_pdv_17","100","base","invoice","ba_in_import","","Uvoz 17%","Uvoz 17%"
"","","","","","","","","","100","tax","invoice","ba_in_import","ba_271000","",""
"","","","","","","","","","100","base","refund","ba_in_import","","",""
"","","","","","","","","","100","tax","refund","ba_in_import","ba_271000","",""
"VAT_P_RC","13","Reverse charge purchase (services from foreign persons)","Reverse charge","17% RC","17.0","percent","purchase","tax_group_pdv_17","100","base","invoice","ba_in_rc","","Obrnuto oporezivanje nabavka (usluge stranih lica)","Obrnuto oporezivanje"
"","","","","","","","","","100","tax","invoice","ba_in_rc","ba_273000","",""
"","","","","","","","","","100","base","refund","ba_in_rc","","",""
"","","","","","","","","","100","tax","refund","ba_in_rc","ba_273000","",""
"VAT_P_NONDEDUCT","14","Non-deductible input VAT","Non-deductible VAT","17% ND","17.0","percent","purchase","tax_group_pdv_17","100","base","invoice","","","Neodbitni ulazni PDV","Neodbitni PDV"
"","","","","","","","","","100","tax","invoice","","","",""
"","","","","","","","","","100","base","refund","","","",""
"","","","","","","","","","100","tax","refund","","","",""
